n_users,obj,p_nothing,p_streaming,seed
34832,-8.243260578277203,0.1,0.5,0
24576,-7.202555094658447,0.3666666666666667,0.5,0
14160,-5.038466522309708,0.6333333333333333,0.5,0
3946,-0.3898456001997103,0.9,0.5,0
34809,-8.221672827182072,0.1,0.5,1
24621,-7.192675775391102,0.3666666666666667,0.5,1
14305,-4.99249626970247,0.6333333333333333,0.5,1
3748,-0.2860080091152937,0.9,0.5,1
34983,-8.257715108118761,0.1,0.5,2
24568,-7.192461735378643,0.3666666666666667,0.5,2
14189,-5.023405387868686,0.6333333333333333,0.5,2
3788,-0.47329853214353895,0.9,0.5,2
34879,-8.234602728078096,0.1,0.5,3
24528,-7.2035301211827445,0.3666666666666667,0.5,3
14286,-4.989055328676182,0.6333333333333333,0.5,3
4021,-0.512242873099215,0.9,0.5,3
34945,-8.246739086265222,0.1,0.5,4
24506,-7.2217451023715675,0.3666666666666667,0.5,4
14246,-4.9633426567132135,0.6333333333333333,0.5,4
3892,-0.39769309257659063,0.9,0.5,4
34972,-8.25851594515544,0.1,0.5,5
24581,-7.275474405567748,0.3666666666666667,0.5,5
14185,-5.00263639659301,0.6333333333333333,0.5,5
3848,-0.40715958119659346,0.9,0.5,5
34882,-8.216506538823623,0.1,0.5,6
24687,-7.167391230520377,0.3666666666666667,0.5,6
14222,-4.986453181498209,0.6333333333333333,0.5,6
3841,-0.3694803891919135,0.9,0.5,6
34943,-8.261439652505597,0.1,0.5,7
24504,-7.301725704282175,0.3666666666666667,0.5,7
14256,-4.988170472762289,0.6333333333333333,0.5,7
3904,-0.37111487354802036,0.9,0.5,7
34909,-8.27656171077495,0.1,0.5,8
24466,-7.144622468990001,0.3666666666666667,0.5,8
14136,-5.085908899809709,0.6333333333333333,0.5,8
3913,-0.47112032203392606,0.9,0.5,8
34902,-8.241006080359382,0.1,0.5,9
24565,-7.241478308588228,0.3666666666666667,0.5,9
14099,-4.911997432481725,0.6333333333333333,0.5,9
3911,-0.4056242710372178,0.9,0.5,9
34949,-8.257850994611097,0.1,0.5,10
24406,-7.200604154843776,0.3666666666666667,0.5,10
14195,-4.956249684528436,0.6333333333333333,0.5,10
4023,-0.3595972734716755,0.9,0.5,10
34897,-8.251510232733063,0.1,0.5,11
24634,-7.19543071912632,0.3666666666666667,0.5,11
14244,-5.043497634560653,0.6333333333333333,0.5,11
3792,-0.36824320956510503,0.9,0.5,11
34981,-8.267959838751764,0.1,0.5,12
24544,-7.144733662970793,0.3666666666666667,0.5,12
14420,-5.104333765286507,0.6333333333333333,0.5,12
3843,-0.4223128265061826,0.9,0.5,12
34899,-8.2668238835582,0.1,0.5,13
24507,-7.231307737371062,0.3666666666666667,0.5,13
14180,-4.959477616434213,0.6333333333333333,0.5,13
3878,-0.32138269272111225,0.9,0.5,13
34845,-8.313045626904238,0.1,0.5,14
24448,-7.2029186208084,0.3666666666666667,0.5,14
14129,-4.943580185567653,0.6333333333333333,0.5,14
3765,-0.3371873528429418,0.9,0.5,14
34943,-8.206690171918368,0.1,0.5,15
24453,-7.2548321971802165,0.3666666666666667,0.5,15
14268,-5.071856814781015,0.6333333333333333,0.5,15
3859,-0.4045535069081192,0.9,0.5,15
34950,-8.178858022225493,0.1,0.5,16
24483,-7.230017753957147,0.3666666666666667,0.5,16
14063,-4.918423320919793,0.6333333333333333,0.5,16
3923,-0.4152111088983506,0.9,0.5,16
34842,-8.274601100722927,0.1,0.5,17
24496,-7.189041671093056,0.3666666666666667,0.5,17
14231,-5.015318127263084,0.6333333333333333,0.5,17
3914,-0.4165463936646484,0.9,0.5,17
34781,-8.270805489306998,0.1,0.5,18
24625,-7.154863344416644,0.3666666666666667,0.5,18
14093,-5.024909036882328,0.6333333333333333,0.5,18
3963,-0.4113857221929011,0.9,0.5,18
34907,-8.25139072934705,0.1,0.5,19
24542,-7.192613440508984,0.3666666666666667,0.5,19
14298,-5.1471827617862385,0.6333333333333333,0.5,19
3861,-0.44703829209252016,0.9,0.5,19
